GEN_BOTANIC;DENUMIRE_CULTURA;COD;Traduction;ASSOLIA;SCHEMA_PLATA_MASURA_SPRIJIN;SECTIUNE;Colonne1
Helianthus;FLOAREA SOARELUI HIBRID/SOI SEMI-TARDIV;126;Tournesol semi tardif;Sunflower;SAPS, ANT1, M10_P4, P4, M10_P5, M11_S1_P1, M11_S2_P1, P5.1;I. TEREN ARABIL – TA;
Glycine;SOIA-HIBRID/SOI TIMPURIU;127;Soja précoce;Soybean;SAPS, ANT1, M10_P4, P4, M10_P5, M11_S1_P1, M11_S2_P1, P5.1;I. TEREN ARABIL – TA;
Glycine;SOIA-HIBRID/SOI SEMITIMPURIU;128;Soja semi précoce;Soybean;SAPS, ANT1, M10_P4, P4, M10_P5, M11_S1_P1, M11_S2_P1, P5.1;I. TEREN ARABIL – TA;
Glycine;SOIA-HIBRID/SOI TARDIV;129;Soja tardif;Soybean;SAPS, ANT1, M10_P4, P4, M10_P5, M11_S1_P1, M11_S2_P1, P5.1;I. TEREN ARABIL – TA;
Glycine;SOIA-HIBRID/SOI SEMITARDIV;130;Soja semi tardif;Soybean;SAPS, ANT1, M10_P4, P4, M10_P5, M11_S1_P1, M11_S2_P1, P5.1;I. TEREN ARABIL – TA;
Oryza;OREZ;111;Riz;Arable other crop;SAPS, ANT1, M11_S1_P1, M11_S2_P1, P5.1;I. TEREN ARABIL – TA;
Oryza;OREZ;1117;Riz;Arable other crop;SAPS, ANT1, SC7.6, M11_S1_P1, M11_S2_P1, P5.1;I. TEREN ARABIL – TA;
Panicum;MEI;112;Millet;Arable other crop;SAPS, ANT1, M10_P4, P4, M11_S1_P1, M11_S2_P1, P5.1;I. TEREN ARABIL – TA;
Fagopyrum;HRI?CA;113;Sarrasin;Arable other crop;SAPS, ANT1, M10_P4, P4, M11_S1_P1, M11_S2_P1, P5.1;I. TEREN ARABIL – TA;
;ALTE CEREALE PENTRU BOABE;114;Autres céréales à grains;Arable other crop;SAPS, ANT1, M10_P4, P4, M11_S1_P1, M11_S2_P1, P5.1;I. TEREN ARABIL – TA;
Pisum;MAZ?RE BOABE;151;Pois;Peas (spring);SAPS, ANT1, M10_P4, P4, M11_S1_P1, M11_S2_P1, P5.1;I. TEREN ARABIL – TA;
Pisum;MAZ?RE BOABE INDUSTRIALIZARE;1517;Pois industriel;Arable other crop;SAPS, ANT1, SC7.3, M10_P4, P4, M11_S1_P1, M11_S2_P1, P5.1;I. TEREN ARABIL – TA;
Phaseolus;FASOLE BOABE;152;Haricots;Beans (dry);SAPS, ANT1, M10_P4, P4, M11_S1_P1, M11_S2_P1, P5.1;I. TEREN ARABIL – TA;
Phaseolus;FASOLE BOABE INDUSTRIALIZARE;1527;Haricots industriel;Arable other crop;SAPS, ANT1, SC7.4, M10_P4, P4, M11_S1_P1, M11_S2_P1, P5.1;I. TEREN ARABIL – TA;
Lens;LINTE;153;Lentille;Lentil;SAPS, ANT1, M10_P4, P4, M11_S1_P1, M11_S2_P1, P5.1;I. TEREN ARABIL – TA;
Vicia;BOB;154;Fèverole;Arable other crop;SAPS, ANT1, M10_P4, P4, M11_S1_P1, M11_S2_P1, P5.1;I. TEREN ARABIL – TA;
Lupinus;LUPIN;155;Lupin;Lupine;SAPS, ANT1, M10_P4, P4, M11_S1_P1, M11_S2_P1, P5.1;I. TEREN ARABIL – TA;
Vigna;FASOLI??;156;Cornille;Arable other crop;SAPS, ANT1, M10_P4, P4, M11_S1_P1, M11_S2_P1, P5.1;I. TEREN ARABIL – TA;
Cicer;NAUT;157;Pois chiche;Chickpea;SAPS, ANT1, M10_P4, P4, M11_S1_P1, M11_S2_P1, P5.1;I. TEREN ARABIL – TA;
Vicia;M?Z?RICHE DE TOAMN?;158;Vesce d'hiver;Arable other crop;SAPS, ANT1, M10_P4, P4, M11_S1_P1, M11_S2_P1, P5.1;I. TEREN ARABIL – TA;
Pisum;MAZ?RE FURAJER? DE TOAMN?;159;Pois fourrager d'hiver;Arable other crop;SAPS, ANT1, M10_P4, P4, M11_S1_P1, M11_S2_P1, P5.1;I. TEREN ARABIL – TA;
;ALTE LEGUMINOASE PENTRU BOABE;160;Autres légumineuses à grains;Arable other crop;SAPS, ANT1, M10_P4, P4, M11_S1_P1, M11_S2_P1, P5.1;I. TEREN ARABIL – TA;
Helianthus;FLOAREA SOARELUI;201;Tournesol;Sunflower;SAPS, ANT1, M10_P4, P4, M11_S1_P1, M11_S2_P1, P5.1;I. TEREN ARABIL – TA;
Brassica;RAPI?? de toamn?;202;Colza d'hiver;Rapeseed;SAPS, ANT1, M10_P4, P4, M10_P7, P7, M11_S1_P1, M11_S2_P1, P5.1;I. TEREN ARABIL – TA;
Brassica;RAPI?? de prim?var?;2020;Colza de printemps;Arable other crop;SAPS, ANT1, M10_P4, P4, M11_S1_P1, M11_S2_P1, P5.1;I. TEREN ARABIL – TA;
Glycine;SOIA;203;Soja;Soybean;SAPS, ANT1, M10_P4, P4, M11_S1_P1, M11_S2_P1, P5.1;I. TEREN ARABIL – TA;
Glycine;SOIA;2037;Soja;Soybean;SAPS, ANT1, SC7.1, M10_P4, P4, M11_S1_P1, M11_S2_P1, P5.1;I. TEREN ARABIL – TA;
Linum;IN PENTRU ULEI;204;Lin oléagineux;Arable other crop;SAPS, ANT1, M10_P4, P4, M11_S1_P1, M11_S2_P1, P5.1;I. TEREN ARABIL – TA;
;ALTE OLEAGINOASE;205;Autres oléagineux;Arable other crop;SAPS, ANT1, M10_P4, P4, M11_S1_P1, M11_S2_P1, P5.1;I. TEREN ARABIL – TA;
Linum;IN PENTRU FIBR?;206;Lin textile;Arable other crop;SAPS, ANT1, ANT2, M10_P4, P4, M11_S1_P1, M11_S2_P1, P5.1;I. TEREN ARABIL – TA;
Cannabis;CÂNEP? PENTRU FIBR?;207;Chanvre fibre;Hemp (fiber);SAPS, ANT1, ANT3, M10_P4, P4, M11_S1_P1, M11_S2_P1, P5.1;I. TEREN ARABIL – TA;
Cannabis;CÂNEP? PENTRU FIBR?;2077;Chanvre fibre;Hemp (fiber);SAPS, ANT1, ANT3, SC7.5, M10_P4, P4, M11_S1_P1, M11_S2_P1, P5.1;I. TEREN ARABIL – TA;
Nicotiana;TUTUN;208;Tabac;Arable other crop;SAPS, ANT1, ANT4, M10_P4, P4, M11_S1_P1, M11_S2_P1, P5.1;I. TEREN ARABIL – TA;
Foeniculum;FENICUL;209;Fenouil;Arable other crop;SAPS, ANT1, M10_P4, P4, M11_S1_P5, M11_S2_P5, P5.5;I. TEREN ARABIL – TA;
Lavandula;LEV?N?ICA;210;Lavande;Arable other crop;SAPS, ANT1, M10_P4, P4, M11_S1_P5, M11_S2_P5, P5.5;I. TEREN ARABIL – TA;
Mentha;MENTA;211;Menthe;Arable other crop;SAPS, ANT1, M10_P4, P4, M11_S1_P5, M11_S2_P5, P5.5;I. TEREN ARABIL – TA;
Pimpinella;ANASON;212;Anis;Arable other crop;SAPS, ANT1, M10_P4, P4, M11_S1_P5, M11_S2_P5, P5.5;I. TEREN ARABIL – TA;
;ALTE PLANTE MEDICINALE ?I AROMATICE (anuale);213;Autres plantes médicinales et aromatiques (annuel);Arable other crop;SAPS, ANT1, M10_P4, P4, M11_S1_P5, M11_S2_P5, P5.5;I. TEREN ARABIL – TA;
;ALTE PLANTE MEDICINALE ?I AROMATICE (perene);2013;Autres plantes médicinales et aromatiques (pérenne);Arable other crop;SAPS, ANT1, M11_S1_P5, M11_S2_P5, P5.5;I. TEREN ARABIL – TA;
