GEN_BOTANIC;DENUMIRE_CULTURA;COD;Traduction;ASSOLIA;SCHEMA_PLATA_MASURA_SPRIJIN;SECTIUNE;Colonne1
Beta;SFECL? FURAJER? ENERGETIC?;9551;Betterave alimentaire énergie;Arable other crop;SAPS, ANT1, M10_P4, P4;I. TEREN ARABIL – TA (Culturi energetice);
Beta;SFECL? DE ZAH?R ENERGETIC?;9552;Betterave sucrière énergie;Arable other crop;SAPS, ANT1, M10_P4, P4;I. TEREN ARABIL – TA (Culturi energetice);
Trifolium;TRIFOI RO?U ENERGETIC;9553;Trèfle rouge énergie;Arable other crop;SAPS, ANT1;I. TEREN ARABIL – TA (Culturi energetice);
Trifolium;TRIFOI ALB ENERGETIC;9554;Trèfle blanc énergie;Arable other crop;SAPS, ANT1;I. TEREN ARABIL – TA (Culturi energetice);
Camelina;CAMELIN? ENERGETIC?;9555;Cameline énergie;Arable other crop;SAPS, ANT1;I. TEREN ARABIL – TA (Culturi energetice);
Medicago;LUCERN? ENERGETIC?;9556;Luzerne énergie;Arable other crop;SAPS, ANT1;I. TEREN ARABIL – TA (Culturi energetice);
Lolium;RAIGRAS PEREN ENERGETIC;9557;Ray grass péren énergie;Arable other crop;SAPS, ANT1;I. TEREN ARABIL – TA (Culturi energetice);
Sorghum;IARB? DE SUDAN ENERGETIC?;9558;Sorgho du soudan énergie;Arable other crop;SAPS, ANT1;I. TEREN ARABIL – TA (Culturi energetice);
Lupinus;LUPIN ENERGETIC;9559;Lupin énergie;Arable other crop;SAPS, ANT1, M10_P4, P4;I. TEREN ARABIL – TA (Culturi energetice);
Phacelia;PHACELIA ENERGETIC?;9560;Phacélie énergie;Arable other crop;SAPS, ANT1, M10_P4, P4;I. TEREN ARABIL – TA (Culturi energetice);
;PAJI?TI PERMANENTE COMUNALE UTILIZATE ÎN COMUN;603;Prairie permanente communale utilisée conjointement;Arable other crop;SAPS, P1, P1.2, M10_P1, M10_P3.1.1, M10_P3.1.2, P3.1, M10_P3.2.1, M10_P3.2.2, P3.2, M10_P6.1, M10_P6.2, P6;II. PAJI?TE PERMANENT? – PP;
;PAJI?TI PERMANENTE UTILIZATE ÎN COMUN;604;Prairie permanente utilisée conjointement;Arable other crop;SAPS, P1, P1.2, M10_P1, M10_P3.1.1, M10_P3.1.2, P3.1, M10_P3.2.1, M10_P3.2.2, P3.2, M10_P6.1, M10_P6.2, P6;II. PAJI?TE PERMANENT? – PP;
;PAJI?TI PERMANENTE COMUNALE UTILIZATE INDIVIDUAL;605;Prairie permanente communautaire utilisée individuellement;Arable other crop;SAPS, P1, P1.2, M10_P1, M10_P3.1.1, M10_P3.1.2, P3.1, M10_P3.2.1, M10_P3.2.2, P3.2, M10_P6.1, M10_P6.2, P6, M11_S1_P6.1, M11_S2_P6.1, M11_S1_P6.2, M11_S2_P6.2;II. PAJI?TE PERMANENT? – PP;
;PAJI?TI PERMANENTE UTILIZATE INDIVIDUAL;606;Prairie permanente utilisée individuellement;Arable other crop;SAPS, P1, P1.2, M10_P1, M10_P3.1.1, M10_P3.1.2, P3.1, M10_P3.2.1, M10_P3.2.2, P3.2, M10_P6.1, M10_P6.2, P6, M11_S1_P6.1, M11_S2_P6.1, M11_S1_P6.2, M11_S2_P6.2;II. PAJI?TE PERMANENT? – PP;
;FÂNE?E UTILIZATE INDIVIDUAL;607;Foin utilisé individuellement;Arable other crop;SAPS, P1, P1.2, M10_P1, M10_P1.2.1, M10_P1.2.2, M10_P3.1.1, M10_P3.1.2, P3.1, M10_P3.2.1, M10_P3.2.2, P3.2, P6, M10_P6.1, M10_P6.2, M11_S1_P6.1, M11_S2_P6.1, M11_S1_P6.2, M11_S2_P6.2;II. PAJI?TE PERMANENT? – PP;
;FÂNE?E COMUNALE UTILIZATE INDIVIDUAL;608;Foin communale utilisé individuel;Arable other crop;SAPS, P1, P1.2, M10_P1, M10_P1.2.1, M10_P1.2.2, M10_P3.1.1, M10_P3.1.2, P3.1, M10_P3.2.1, M10_P3.2.2, P3.2, P6, M10_P6.1, M10_P6.2, M11_S1_P6.1, M11_S2_P6.1, M11_S1_P6.2, M11_S2_P6.2;II. PAJI?TE PERMANENT? – PP;
;LIVAD? TRADI?IONAL? UTILIZAT? EXTENSIV PRIN P??UNAT ?I/SAU COSIT;660;Verger traditionnel extensif pour le pâturage ou tonte;Arable other crop;SAPS, P1, P1.2, M10_P1;II. PAJI?TE PERMANENT? – PP;
;LIVAD? TRADI?IONAL? UTILIZAT? EXTENSIV CA FÂNEAT??;661;Verger traditionnel extensif pour le foin;Arable other crop;SAPS, P1, P1.2, M10_P1, M10_P1.2.1, M10_P1.2.2, P1.2;II. PAJI?TE PERMANENT? – PP;
;FÂNE?E NATURALE ENERGETICE;662;Foin naturel énergie;Arable other crop;SAPS;II. PAJI?TE PERMANENT? – PP;
Malus;MERI;651;Pommier;;SAPS, M11_S1_P3, M11_S2_P3, P5.3;III. CULTURI PERMANENTE – CP;
Malus;MERI INDUSTRIALIZARE;6517;Pommier industriel;;SAPS, SC7.15, M11_S1_P3, M11_S2_P3, P5.3;III. CULTURI PERMANENTE – CP;
Pyrus;PERI;652;Poirier;;SAPS, M11_S1_P3, M11_S2_P3, P5.3;III. CULTURI PERMANENTE – CP;
Prunus;PRUNI;653;Prunier;;SAPS, M11_S1_P3, M11_S2_P3, P5.3;III. CULTURI PERMANENTE – CP;
Prunus;PRUNI INDUSTRIALIZARE;6537;Prunier industriel;;SAPS, SC7.14, M11_S1_P3, M11_S2_P3, P5.3;III. CULTURI PERMANENTE – CP;
Prunus;CAI?I ?I ZARZ?RI;654;Abricoter;;SAPS, M11_S1_P3, M11_S2_P3, P5.3;III. CULTURI PERMANENTE – CP;
Prunus;CAI?I ?I ZARZ?RI - INDUSTRIALIZARE;6547;Abricotier industriel;;SAPS, SC7.17, M11_S1_P3, M11_S2_P3, P5.3;III. CULTURI PERMANENTE – CP;
Prunus;PIERSICI;655;Pêchier;;SAPS, M11_S1_P3, M11_S2_P3, P5.3;III. CULTURI PERMANENTE – CP;
Prunus;CIRE?I ?I VI?INI;656;Cerisier;;SAPS, M11_S1_P3, M11_S2_P3, P5.3;III. CULTURI PERMANENTE – CP;
Prunus;CIRE?I ?I VI?INI - INDUSTRIALIZARE;6567;Cerisier industriel;;SAPS, SC7.16, M11_S1_P3, M11_S2_P3, P5.3;III. CULTURI PERMANENTE – CP;
Cydonia;GUTUI;657;Cognassier;;SAPS, M11_S1_P3, M11_S2_P3, P5.3;III. CULTURI PERMANENTE – CP;
Morus;DUZI;658;Mûrier;;SAPS, M11_S1_P3, M11_S2_P3, P5.3;III. CULTURI PERMANENTE – CP;
;AL?I POMI FRUCTIFERI;659;Autres arbres fruitiers;;SAPS, M11_S1_P3, M11_S2_P3, P5.3;III. CULTURI PERMANENTE – CP;
Castanea;CASTANI;701;Châtaigniers;;SAPS, M11_S1_P3, M11_S2_P3, P5.3;III. CULTURI PERMANENTE – CP;
Juglans, Corylus;NUCI ?I ALUNI;702;Noix et noisettes;;SAPS, M11_S1_P3, M11_S2_P3, P5.3;III. CULTURI PERMANENTE – CP;
;ALTE SPECII;703;Autres espèces;;SAPS, M11_S1_P3, M11_S2_P3, P5.3;III. CULTURI PERMANENTE – CP;
;LIVEZI TINERE NEINTRATE PE ROD;704;Jeune verger non productif;;SAPS, M11_S1_P3, M11_S2_P3, P5.3;III. CULTURI PERMANENTE – CP;
Humulus;HAMEI;750;Houblon;;SAPS, ANT5, M11_S1_P3, M11_S2_P3, P5.3;III. CULTURI PERMANENTE – CP;
Humulus;HAMEI;7507;Houblon;;SAPS, ANT5, SC7.8, M11_S1_P3, M11_S2_P3, P5.3;III. CULTURI PERMANENTE – CP;
Rubus;ZMEUR;801;Framboise;;SAPS, M11_S1_P3, M11_S2_P3, P5.3;III. CULTURI PERMANENTE – CP;
Ribes;COAC?Z;802;Groseillier;;SAPS, M11_S1_P3, M11_S2_P3, P5.3;III. CULTURI PERMANENTE – CP;
;AL?I ARBU?TI FRUCTIFERI;804;Autres arbustes fruitiers;;SAPS, M11_S1_P3, M11_S2_P3, P5.3;III. CULTURI PERMANENTE – CP;
Vitis;PEPINIERE VITICOLE ?I PLANTA?II PORTALTOI;901;Pépinière de vigne et plantation de porte-greffe;;SAPS, M11_S1_P4, M11_S2_P4, P5.4;III. CULTURI PERMANENTE – CP;
;PEPINIERE POMICOLE;902;Pépinère de pommier;;SAPS, M11_S1_P3, M11_S2_P3, P5.3;III. CULTURI PERMANENTE – CP;
;PEPINIERE FORESTIERE;903;Pépinière forestière;;SAPS;III. CULTURI PERMANENTE – CP;
;ALTE PEPINIERE;904;Autres pépinière;;SAPS;III. CULTURI PERMANENTE – CP;
;TEREN ÎN PREG?TIRE PENTRU LIVEZI;950;Terrain en préparation pour les vergers;;SAPS;III. CULTURI PERMANENTE – CP;
;TEREN ÎN PREG?TIRE PENTRU VII;951;Terrain en préparation pour la viticulture;;SAPS;III. CULTURI PERMANENTE – CP;
;TEREN ÎN PREG?TIRE PENTRU ALTE CULTURI PERMANENTE;952;Terrain en préparation pour d'autres cultures permanentes;;SAPS;III. CULTURI PERMANENTE – CP;
Salix;SALCIE ENERGETIC?;9531;Saule énergie;;SAPS;III. CULTURI PERMANENTE – CP (Culturi energetice);
Miscanthus;IARBA-ELEFANTULUI ENERGETIC?;9532;Miscanthus;Arable other crop;SAPS;III. CULTURI PERMANENTE – CP (Culturi energetice);
Populus;PLOP HIBRID ENERGETIC;9533;Peuplier hybride énergie;;SAPS;III. CULTURI PERMANENTE – CP (Culturi energetice);
Arundo;STUF GIGANT ENERGETIC;9534;Miscanthus giganteus énergie;Arable other crop;SAPS;III. CULTURI PERMANENTE – CP (Culturi energetice);
Helianthus;NAP PORCESC (TOPINAMBUR);9535;Topinambourg;;SAPS;III. CULTURI PERMANENTE – CP (Culturi energetice);
Paulownia;ARBORELE-PRINTESEI ENERGETIC;9536;Paulownia énergie;;SAPS;III. CULTURI PERMANENTE – CP (Culturi energetice);
Jatropha;ARBUST DE PETROL ENERGETIC;9537;Jatropha énergie;;SAPS;III. CULTURI PERMANENTE – CP (Culturi energetice);
Vitis;VII PE ROD CU STRUGURI NOBILI PENTRU VIN;961;Vignes en production de cépages nobles pour le vin;;SAPS, M11_S1_P4, M11_S2_P4, P5.4;III. CULTURI PERMANENTE – CP;
Vitis;VII PE ROD CU STRUGURI DE MAS?;962;Vignes en production pour raisins de table;;SAPS, M11_S1_P4, M11_S2_P4, P5.4;III. CULTURI PERMANENTE – CP;
Vitis;VII TINERE NEINTRATE PE ROD;963;Jeune vigne non productrice;;SAPS, M11_S1_P4, M11_S2_P4, P5.4;III. CULTURI PERMANENTE – CP;
Vitis;VII CU SOIURI HIBRIDE INTERSPECIFICE PENTRU VIN;964;Vignes avec cépages hybrides interspécifiques pour le vin;;SAPS, M11_S1_P4, M11_S2_P4, P5.4;III. CULTURI PERMANENTE – CP;
Vitis;VII ÎNFIIN?ATE PRIN PROGRAMUL RESTRUCTURARE/RECONVERSIE;965;Vignes plantées dans le cadre du programme de restructuration/reconversion;;SAPS, M11_S1_P4, M11_S2_P4, P5.4;III. CULTURI PERMANENTE – CP;
Vitis;SUPRAFA?? DEFRI?AT? PRIN PROGRAMUL DE PRIM? DE DEFRI?ARE;966;Vignes arrachées dans le cadre de prime à l'arrachage;;SAPS;III. CULTURI PERMANENTE – CP;
