"culture_id";"culture_name";"structure_id";"structure_name";"metacode"
"1404";"Méteil";"47";"Pilote";"CPL"
"1405";"CIVE été Méteil";"47";"Pilote";"BTH"
"1407";"Blé dur Semence";"21";"Arterris sud-est";"BDH"
"1408";"Pois chiche prod sem";"21";"Arterris sud-est";"PCH"
"1409";"Colza Semence";"21";"Arterris sud-est";"CZH"
"1410";"Maïs Semence Fertile";"21";"Arterris sud-est";"MIS"
"1411";"Maïs Semence Stérile";"21";"Arterris sud-est";"MIS"
"1412";"Tournesol Semence";"21";"Arterris sud-est";"TRN"
"1413";"Sorgho Semence";"21";"Arterris sud-est";"SOG"
"1414";"Luzerne copie";"4";"Assolia";"LUZ"
"1418";"Autre assolé";"50";"Néolis";""
"1419";"Triticale d'Hiver";"50";"Néolis";"TTH"
"1420";"Blé dur";"50";"Néolis";"BDH"
"1421";"Blé tendre";"50";"Néolis";"BTH"
"1422";"Colza";"50";"Néolis";"CZH"
"1423";"Maïs ensilage";"50";"Néolis";"MIS"
"1424";"Jachère";"50";"Néolis";"JAC"
"1425";"Légumineuses fourrage";"50";"Néolis";"PAG"
"1426";"Pois chiche";"50";"Néolis";"PCH"
"1428";"Maïs ensilage irrigué";"50";"Néolis";"MIS"
"1429";"Maïs grain";"50";"Néolis";"MIS"
"1430";"Maïs grain irrigué";"50";"Néolis";"MIS"
"1432";"Orge hiver";"50";"Néolis";"ORH"
"1433";"Orge printemps";"50";"Néolis";"ORP"
"1434";"Pois protéagineux printemps";"50";"Néolis";"PPR"
"1435";"Prairie permanente";"50";"Néolis";"PPH"
"1436";"Prairie temporaire";"50";"Néolis";"PTR"
"1437";"Pois protéagineux d'hiver";"50";"Néolis";"PHI"
"1438";"Soja";"50";"Néolis";"SOJ"
"1439";"Soja irrigué";"50";"Néolis";"SOJ"
"1440";"Tournesol";"50";"Néolis";"TRN"
"1441";"Sorgho";"50";"Néolis";"SOG"
"1442";"Avoine d'Hiver";"50";"Néolis";"AVH"
"1443";"Féverole d'hiver";"50";"Néolis";"FVL"
"1444";"Féverole de printemps";"50";"Néolis";"FVP"
"1445";"Lupin d'hiver";"50";"Néolis";"LDH"
"1446";"Millet";"50";"Néolis";"MLT"
"1448";"CIVE Hiver Tournesol";"42";"Assolia Direct";"TRN"
"1449";"CIVE Hiver Sorgho";"42";"Assolia Direct";"SOG"
"1450";"Blé améliorant";"42";"Assolia Direct";"BTH"
"1454";"Luzerne";"37";"Terrena Bio";"LUZ"
"1467";"Avoine";"52";"Arterris CIVE";"AVH"
"1469";"Blé dur";"52";"Arterris CIVE";"BDH"
"1471";"Blé tendre";"52";"Arterris CIVE";"BTH"
"1473";"Colza";"52";"Arterris CIVE";"CZH"
"1475";"Maïs en sec";"52";"Arterris CIVE";"MIS"
"1477";"Orge de brasserie";"52";"Arterris CIVE";"ORH"
"1479";"Pois chiche";"52";"Arterris CIVE";"PCH"
"1481";"Pois d'hiver";"52";"Arterris CIVE";"PHI"
"1483";"Pois de printemps";"52";"Arterris CIVE";"PPR"
"1485";"Porte graine hiver";"52";"Arterris CIVE";"FLA"
"1486";"Soja sec";"52";"Arterris CIVE";"SOJ"
"1488";"Sorgho en sec";"52";"Arterris CIVE";"SOG"
"1490";"Tournesol oléique";"52";"Arterris CIVE";"TRN"
"1501";"Sorgho en sec après CIVE hiver";"52";"Arterris CIVE";"SOG"
"1502";"Tournesol oléique aprèsCIVE hiver";"52";"Arterris CIVE";"TRN"
"1503";"Autre assolé";"53";"Eureden";"LUZ"
"1504";"Triticale";"53";"Eureden";"TTH"
"1506";"Blé tendre hiver";"53";"Eureden";"BTH"
"1507";"Colza oléagineux";"53";"Eureden";"CZH"
"1508";"Maïs fourrage";"53";"Eureden";"MIS"
"1513";"Maïs grain";"53";"Eureden";"MIS"
"1515";"Orge hiver";"53";"Eureden";"ORH"
"1516";"Orge printemps";"53";"Eureden";"ORP"
"1517";"Pois de conserve";"53";"Eureden";"PPR"
"1518";"Prairie permanente";"53";"Eureden";"PPH"
"1519";"Prairie temporaire";"53";"Eureden";"PTR"
"1520";"Pois protéagineux";"53";"Eureden";"PHI"
"1521";"Soja";"53";"Eureden";"SOJ"
"1523";"Tournesol";"53";"Eureden";"TRN"
"1524";"Sorgho grain";"53";"Eureden";"SOG"
"1525";"Avoine";"53";"Eureden";"AVH"
"1526";"Féverole hiver";"53";"Eureden";"FVL"
"1527";"Féverole printemps";"53";"Eureden";"FVP"
"1528";"Lupin hiver";"53";"Eureden";"LDH"
"1530";"Autre -assolée-";"52";"Arterris CIVE";""
"1531";"Féverole";"52";"Arterris CIVE";"FVL"
"1532";"Jachère";"52";"Arterris CIVE";"JAC"
"1533";"Luzerne 1 an";"52";"Arterris CIVE";"LUZ"
"1534";"Maïs moyennement irrigué";"52";"Arterris CIVE";"MIS"
"1536";"Maïs semence Fertile";"52";"Arterris CIVE";"MIS"
"1537";"Orge d'hiver";"52";"Arterris CIVE";"ORH"
"1538";"Porte graine Printemps";"52";"Arterris CIVE";"FLA"
"1539";"Prairie permanente";"52";"Arterris CIVE";"PPH"
"1540";"Prairie temporaire 1 an";"52";"Arterris CIVE";"PTR"
"1541";"Soja Irrigué";"52";"Arterris CIVE";"SOJ"
"1542";"Sorgho irrigué";"52";"Arterris CIVE";"SOG"
"1543";"Triticale";"52";"Arterris CIVE";"TTH"
"1544";"Maïs bien irrigué après CIVE hiver";"52";"Arterris CIVE";"MIS"
"1547";"Maïs bien irrigué";"52";"Arterris CIVE";"MIS"
"1548";"Maïs moyennement irrigué après CIVE hiver";"52";"Arterris CIVE";"MIS"
"1551";"Sorgho irrigué après CIVE hiver";"52";"Arterris CIVE";"SOG"
"1554";"Lin fibre hiver";"53";"Eureden";"LIH"
"1555";"Flageolet";"53";"Eureden";"PHS"
"1556";"Sarrasin";"53";"Eureden";"SRS"
"1559";"Betterave fourragère";"53";"Eureden";"BTN"
"1560";"Blé tendre printemps";"53";"Eureden";"BTP"
"1561";"Cameline";"53";"Eureden";"CML"
"1562";"Chanvre";"53";"Eureden";"CHV"
"1563";"Chou-fleur";"53";"Eureden";"CHU"
"1564";"Echalote";"53";"Eureden";"OIG"
"1565";"Epinard";"53";"Eureden";"EPI"
"1567";"Haricot vert";"53";"Eureden";"PHF"
"1568";"Lin fibre printemps";"53";"Eureden";"LIF"
"1569";"Lin oléagineux hiver";"53";"Eureden";"LIH"
"1570";"Lin oléagineux printemps";"53";"Eureden";"LIP"
"1571";"Lupin printemps";"53";"Eureden";"LDP"
"1572";"Oignon";"53";"Eureden";"OIG"
"1573";"Orge brassicole";"53";"Eureden";"ORH"
"1574";"Seigle";"53";"Eureden";"SGH"
"1575";"Sorgho fourrager";"53";"Eureden";"SOG"
"1577";"Carotte jeune";"53";"Eureden";"CAR"
"1578";"Pomme de terre";"53";"Eureden";"PTC"
"1581";"Maïs irrigué CIVE après CIVE hiver";"52";"Arterris CIVE";"MIS"
"1582";"Soja Irrigué après CIVE hiver";"52";"Arterris CIVE";"SOJ"
"1583";"Soja sec après CIVE hiver";"52";"Arterris CIVE";"SOJ"
"1584";"Autre Assolé";"56";"Valotech";""
"1585";"Avoine d'hiver";"56";"Valotech";"AVH"
"1586";"Blé dur d'hiver";"56";"Valotech";"BDH"
"1587";"Blé tendre d'hiver";"56";"Valotech";"BTH"
"1588";"Colza";"56";"Valotech";"CZH"
"1589";"Féverole d'hiver";"56";"Valotech";"FVL"
"1590";"Jachère";"56";"Valotech";"JAC"
"1591";"Maïs";"56";"Valotech";"MIS"
"1592";"Millet";"56";"Valotech";"MLT"
"1593";"Orge d'hiver";"56";"Valotech";"ORH"
"1594";"Pois et haricot frais alimentation humaine";"56";"Valotech";"PHF"
"1595";"Pois protéagineux d'hiver";"56";"Valotech";"PHI"
"1596";"Prairie permanente";"56";"Valotech";"PPH"
"1597";"Prairie temporaire de 5 ans ou moins";"56";"Valotech";"PTR"
"1598";"Seigle d'hiver";"56";"Valotech";"SGH"
"1599";"Soja";"56";"Valotech";"SOJ"
"1600";"Sorgho";"56";"Valotech";"SOG"
"1601";"Tournesol";"56";"Valotech";"TRN"
"1602";"Triticale d'hiver";"56";"Valotech";"TTH"
"1603";"Luzerne";"56";"Valotech";"LUZ"
"1605";"CIVE RG - Maïs ensilage tardif";"56";"Valotech";"MIS"
"1607";"Blé tendre de force";"52";"Arterris CIVE";"BTH"
"1610";"Blé tendre d'hiver";"57";"Chambre d'agriculture 28";"BTH"
"1611";"Blé dur d'hiver";"57";"Chambre d'agriculture 28";"BDH"
"1612";"Luzerne";"57";"Chambre d'agriculture 28";"LUZ"
"1613";"Féverole d'hiver";"57";"Chambre d'agriculture 28";"FVL"
"1614";"Orge d'hiver";"57";"Chambre d'agriculture 28";"ORH"
"1615";"Orge de printemps";"57";"Chambre d'agriculture 28";"ORP"
